Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 129.0.0.0,,,22-10-2024 00:19:57,22-10-2024 00:20:36,39.061s,PASSED
,,,,,,,
Test Cases/Login/Admin,Chrome 129.0.0.0,,,22-10-2024 00:19:57,22-10-2024 00:20:08,11.228s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,22-10-2024 00:19:57,22-10-2024 00:19:59,1.768s,PASSED
"navigateToUrl(""https://dev.web.prepcirca.com/login"")",Chrome 129.0.0.0,,,22-10-2024 00:19:59,22-10-2024 00:20:03,4.687s,PASSED
"setText(findTestObject(""Object Repository/Page_PrepCirca V2/input_Login_username""), ""lia@dashurai.com"")",Chrome 129.0.0.0,,,22-10-2024 00:20:03,22-10-2024 00:20:07,3.484s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_PrepCirca V2/input_Login_password""), ""xRkMkEGOFPJvN61N/sX4qQ=="")",Chrome 129.0.0.0,,,22-10-2024 00:20:07,22-10-2024 00:20:07,0.409s,PASSED
"click(findTestObject(""Object Repository/Page_PrepCirca V2/button_Login""))",Chrome 129.0.0.0,,,22-10-2024 00:20:07,22-10-2024 00:20:08,0.347s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,22-10-2024 00:20:08,22-10-2024 00:20:08,0.320s,PASSED
,,,,,,,
Test Cases/Login/Guardian,Chrome 129.0.0.0,,,22-10-2024 00:20:08,22-10-2024 00:20:21,12.606s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,22-10-2024 00:20:08,22-10-2024 00:20:09,0.769s,PASSED
"navigateToUrl(""https://dev.web.prepcirca.com/login"")",Chrome 129.0.0.0,,,22-10-2024 00:20:09,22-10-2024 00:20:19,10.052s,PASSED
"setText(findTestObject(""Object Repository/Page_PrepCirca V2/input_Login_username""), ""j.ross@example.com"")",Chrome 129.0.0.0,,,22-10-2024 00:20:19,22-10-2024 00:20:20,0.888s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_PrepCirca V2/input_Login_password""), ""xRkMkEGOFPJvN61N/sX4qQ=="")",Chrome 129.0.0.0,,,22-10-2024 00:20:20,22-10-2024 00:20:20,0.342s,PASSED
"click(findTestObject(""Object Repository/Page_PrepCirca V2/button_Login""))",Chrome 129.0.0.0,,,22-10-2024 00:20:20,22-10-2024 00:20:20,0.290s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,22-10-2024 00:20:20,22-10-2024 00:20:21,0.197s,PASSED
,,,,,,,
Test Cases/Login/Teacher,Chrome 129.0.0.0,,,22-10-2024 00:20:21,22-10-2024 00:20:28,6.981s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,22-10-2024 00:20:21,22-10-2024 00:20:21,0.765s,PASSED
"navigateToUrl(""https://dev.web.prepcirca.com/login"")",Chrome 129.0.0.0,,,22-10-2024 00:20:21,22-10-2024 00:20:26,4.351s,PASSED
"setText(findTestObject(""Object Repository/Page_PrepCirca V2/input_Login_username""), ""brettking@example.net"")",Chrome 129.0.0.0,,,22-10-2024 00:20:26,22-10-2024 00:20:27,0.888s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_PrepCirca V2/input_Login_password""), ""xRkMkEGOFPJvN61N/sX4qQ=="")",Chrome 129.0.0.0,,,22-10-2024 00:20:27,22-10-2024 00:20:27,0.373s,PASSED
"click(findTestObject(""Object Repository/Page_PrepCirca V2/div_Login""))",Chrome 129.0.0.0,,,22-10-2024 00:20:27,22-10-2024 00:20:27,0.307s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,22-10-2024 00:20:27,22-10-2024 00:20:28,0.236s,PASSED
,,,,,,,
Test Cases/Login/Student,Chrome 129.0.0.0,,,22-10-2024 00:20:28,22-10-2024 00:20:36,8.097s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,22-10-2024 00:20:28,22-10-2024 00:20:28,0.675s,PASSED
"navigateToUrl(""https://dev.web.prepcirca.com/login"")",Chrome 129.0.0.0,,,22-10-2024 00:20:28,22-10-2024 00:20:33,4.524s,PASSED
"setText(findTestObject(""Object Repository/Page_PrepCirca V2/input_Login_username""), ""nbaldwin@example.org"")",Chrome 129.0.0.0,,,22-10-2024 00:20:33,22-10-2024 00:20:34,0.970s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_PrepCirca V2/input_Login_password""), ""xRkMkEGOFPJvN61N/sX4qQ=="")",Chrome 129.0.0.0,,,22-10-2024 00:20:34,22-10-2024 00:20:34,0.348s,PASSED
"click(findTestObject(""Object Repository/Page_PrepCirca V2/div_Login""))",Chrome 129.0.0.0,,,22-10-2024 00:20:34,22-10-2024 00:20:34,0.307s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,22-10-2024 00:20:34,22-10-2024 00:20:36,1.223s,PASSED
